Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","02","ABTGP1051022","TUSK TURBO GEN PURP BLADE 105 X 22.23","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTGP1251022","TUSK TURBO GEN PURP BLADE 125 X 22.23","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTGP1801022","TUSK TURBO GEN PURP BLADE 180 X 22.23","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTGP2301022","TUSK TURBO GEN PURP BLADE 230 X 22.23","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTTPFC254630","TUSK TPFC SAW BLADE 254mm 6T 30 ARBOR","TUSK TPFC SAW BLADE 254mm 6T 30 ARBOR","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABTTTBH1852020","TUSK TTBH BLADE 185 20T 20 ARBOR BLADE","TUSK TTBH BLADE 185mm x 20T 20 ARBOR BLADE","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTTTBH2102430","TUSK TTBH BLADE 210 24T 30 ARBOR BLADE","TUSK TTBH BLADE 210mm x 24T 30 ARBOR BLADE","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTTTBM2546030","TUSK TTBM BLADE 254 60T 30 ARBOR BLADE","TUSK TTBM BLADE 254mm x 60T 30 ARBOR BLADE","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTTTBM2548030","TUSK TTBM BLADE 254 80T 30 ARBOR BLADE","TUSK TTBM BLADE 254mm x 80T 30 ARBOR BLADE","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTTTCB25410030","TUSK TTCB BLADE 254 100T 30 ARBOR BLADE","TUSK TTCB BLADE 254mm x 100T 30 ARBOR BLADE","HUATOO","0","","0","0","0","0","0",""
"0","All","02","EYS5801","230x280mm P80 No-Fill Sanding Sheet","","ALLTOO","0","","50","43","4","0","0",""
"0","All","02","EYS5802","230x280mm P100 No-Fill Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS5803","230x280mm P120 No-Fill Sanding Sheet","","ALLTOO","0","","50","46","4","0","0",""
"0","All","02","EYS5805","230x280mm P180 No-Fill Sanding Sheet","","ALLTOO","0","","50","50","0","0","0",""
"0","All","02","EYS5807","230x280mm P240 No-Fill Sanding Sheet","","ALLTOO","0","","49","47","3","0","0",""
"0","All","02","EYS5923","75mmx610mm P40 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5924","75mmx610mm P60 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5925","75mmx610mm P80 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5926","75mmx610mm P120 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5935","100mmx610mm P40 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5936","100mmx610mm P60 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5937","100mmx610mm P80 Sanding Belt (3pcs)","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5938","100mmx610mm P120 Sanding Belt (3pcs)","","ALLTOO","0","","2","1","1","0","0",""
"0","All","02","EYS5951","115mm x 10m P40 paper sanding roll","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5952","115mm x 10m P60 paper sanding roll","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5953","115mm x 10m P80 paper sanding roll","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5954","115mm x 10m P120 paper sanding roll","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5955","115mm x 10m P180 paper sanding roll","","ALLTOO","0","","2","2","0","0","0",""
"0","All","02","EYS5956","115mm x 10m P240 paper sanding roll","","ALLTOO","0","","2","1","0","0","0",""
"0","All","02","EYS6801","230x280mm P80 Wet n Dry Sanding Sheet","","ALLTOO","0","","46","46","4","0","0",""
